#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   0.67013    -13.543700  0.594  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.611
   0.70363    -13.460709  0.599  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.614
   0.73714    -13.378626  0.604  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.618
   0.77064    -13.298265  0.607  0.000  0.012  0.005  0.000  0.000  0.000  0.000  0.000  0.624
   0.80415    -13.220448  0.612  0.000  0.012  0.003  0.000  0.000  0.000  0.000  0.000  0.628
   0.83766    -13.146062  0.619  0.000  0.012  0.003  0.000  0.000  0.000  0.000  0.000  0.631
   0.87116    -13.076006  0.622  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.636
   0.90467    -13.011202  0.626  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.640
   0.93818    -12.952573  0.630  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.97168    -12.901045  0.635  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.647
   1.00519    -12.857452  0.637  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.650
   1.03869    -12.822576  0.638  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.651
   1.07220    -12.797109  0.641  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.10571    -12.781589  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.13921    -12.776374  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.13921    -12.776374  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.15856    -12.775935  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.654
   1.17790    -12.774630  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.655
   1.19725    -12.772462  0.642  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.656
   1.21659    -12.769446  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.23594    -12.765600  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.657
   1.25528    -12.760942  0.643  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.658
   1.27463    -12.755504  0.645  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.658
   1.29397    -12.749317  0.646  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.658
   1.31332    -12.742419  0.646  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   1.33266    -12.734858  0.647  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   1.35201    -12.726680  0.647  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
   1.37135    -12.717938  0.647  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.659
